,Name_URL,Name,Name1,CoreCount,PerformanceCoreClock,PerformanceBoostClock,TDP,IntegratedGraphics,SMT
84,https://pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,https://cdna.pcpartpicker.com/static/forever/images/product/f927492257891d8bb2daf4b33d4a764f.256p.jpg,intel core i7-7700,4,3.6,4.2,65.0,Intel HD Graphics 630,Yes
85,https://pcpartpicker.com/product/Vjzv6h/intel-cpu-bx80637i73770,https://images-na.ssl-images-amazon.com/images/I/51XkkFx-XGL.jpg,intel core i7-3770,4,3.4,,77.0,Intel HD Graphics 4000,Yes
86,https://pcpartpicker.com/product/RkJtt6/amd-ryzen-3-2200g-35ghz-quad-core-processor-yd2200c5fbbox,https://cdna.pcpartpicker.com/static/forever/images/product/ad2e56d88c77de3053dcc5dada363f58.256p.jpg,amd ryzen 3 2200g,4,3.5,3.7,65.0,Radeon Vega 8,No
87,https://pcpartpicker.com/product/8HqBD3/amd-ryzen-5-1600-12nm-32-ghz-6-core-processor-yd1600bbafbox,https://cdna.pcpartpicker.com/static/forever/images/product/2447958ccca245b5827bf05929f870e6.256p.jpg,amd ryzen 5 1600 (12nm),6,3.2,3.6,65.0,None,Yes
88,https://pcpartpicker.com/product/G7KcCJ/intel-core-i9-9900kf-36-ghz-8-core-processor-bx80684i99900kf,https://cdna.pcpartpicker.com/static/forever/images/product/cd59447c1091b738d94fc8ea7b0629c6.256p.jpg,intel core i9-9900kf,8,3.6,5.0,95.0,None,Yes
89,https://pcpartpicker.com/product/QKbTwP/intel-celeron-g6900-34-ghz-dual-core-processor-bx80715g6900,https://cdna.pcpartpicker.com/static/forever/images/product/fc7a52f5d0d6ed78e9108673e98ad223.256p.jpg,intel celeron g6900,2,3.4,,46.0,Intel UHD Graphics 710,No
90,https://pcpartpicker.com/product/WPQG3C/amd-ryzen-7-2700-32ghz-8-core-processor-yd2700bbafbox,https://cdna.pcpartpicker.com/static/forever/images/product/fee6d8b626235a58c1cc1577e6760118.256p.jpg,amd ryzen 7 2700,8,3.2,4.1,65.0,None,Yes
91,https://pcpartpicker.com/product/Mr2rxr/intel-core-i5-8600k-36ghz-6-core-processor-bx80684i58600k,https://cdna.pcpartpicker.com/static/forever/images/product/aa134167a714bcf301976f148b735237.256p.jpg,intel core i5-8600k,6,3.6,4.3,95.0,Intel UHD Graphics 630,No
92,https://pcpartpicker.com/product/YTbwrH/intel-core-i3-9100f-36-ghz-quad-core-processor-bx80684i39100f,https://cdna.pcpartpicker.com/static/forever/images/product/0d74fb44f832ad674549787311aafa0f.256p.jpg,intel core i3-9100f,4,3.6,4.2,65.0,None,No
93,https://pcpartpicker.com/product/Mt92FT/amd-ryzen-5-3600-36-ghz-6-core-oemtray-processor-100-100000031mpk,https://cdna.pcpartpicker.com/static/forever/images/product/03f161573f98c93ea9f3e36c4254956e.256p.jpg,amd ryzen 5 3600,6,3.6,4.2,65.0,None,Yes
